Participant,Recording,assigned_aoi,aoi_area
30,1,right_eye,616.0862630578232
30,1,left_eye,495.9083341379318
30,1,nose,231.4791176118934
30,1,mouth,576.5262851923517
30,1,right_eye,446.3104817095069
30,1,left_eye,111.23274260356882
30,1,nose,49.07512826527421
30,1,mouth,251.38164742165006
30,1,right_eye,314.3971525088262
30,1,left_eye,226.60726766144057
30,1,nose,93.87038085085445
30,1,mouth,293.1251989788788
30,1,nose,362.3789169555598
30,1,right_eye,275.14561358978693
30,1,left_eye,61.221997370391826
30,1,nose,57.46906257518154
30,1,mouth,278.1633264646397
30,1,right_eye,348.04510586494996
30,1,left_eye,90.58047590687221
30,1,nose,63.38440322878776
30,1,mouth,303.99001499939004
30,1,left_eye,248.88836140533692
30,1,nose,140.85708951598738
30,1,right_eye,397.6595331306861
30,1,left_eye,368.6762331090059
30,1,nose,133.05581409814152
30,1,mouth,444.60841966216645
30,1,right_eye,172.87627258895773
30,1,nose,123.03642625183423
30,1,right_eye,400.87231715729223
30,1,left_eye,117.25794875648606
30,1,nose,80.1663073968227
30,1,mouth,346.703426689399
30,1,right_eye,310.59100195247447
30,1,nose,297.063405527132
30,1,right_eye,93.11126712853459
30,1,left_eye,345.8726630965093
30,1,nose,107.88137133153565
30,1,mouth,258.13469844342046
30,1,right_eye,522.3625652580461
30,1,nose,211.94161773908772
30,1,right_eye,233.20844701965171
30,1,left_eye,55.90297227200278
30,1,nose,37.58368325923368
30,1,mouth,167.30489744911185
30,1,nose,602.4704522364468
30,1,nose,565.8754731602637
30,1,right_eye,378.974622798923
30,1,left_eye,168.3847294308463
30,1,nose,86.54759776106505
30,1,mouth,290.0930500091656
30,2,right_eye,349.3839256567054
30,2,left_eye,90.31780228227879
30,2,nose,60.40736592986151
30,2,mouth,279.8909061311543
30,2,right_eye,787.097329651623
30,2,nose,363.09343284110025
30,2,right_eye,146.9505074359314
30,2,left_eye,350.4716435037689
30,2,nose,70.3993268422892
30,2,mouth,282.17852221801047
30,2,right_eye,491.34474496704956
30,2,left_eye,121.40591532095947
30,2,nose,37.30497204855373
30,2,mouth,321.9443676634373
30,2,nose,551.200349628109
30,2,right_eye,509.58209871476595
30,2,left_eye,185.35154010421354
30,2,nose,78.63664237018054
30,2,mouth,497.42971881084
30,2,left_eye,307.6704619580127
