,right_eye,left_eye,nose,mouth
right_eye,0.3505747126436782,0.22413793103448276,0.27586206896551724,0.14942528735632185
nose,0.245,0.245,0.335,0.175
mouth,0.1366120218579235,0.1366120218579235,0.26229508196721313,0.4644808743169399
left_eye,0.23979591836734693,0.4387755102040816,0.1989795918367347,0.12244897959183673
